doc_file,heading,file
docs/api.md,API Reference,backend/__init__.py
docs/api.md,API Reference,backend/app.py
docs/api.md,API Reference,backend/cli.py
docs/api.md,API Reference,backend/config.py
docs/api.md,API Reference,backend/database.py
docs/api.md,API Reference,backend/models/__init__.py
docs/api.md,API Reference,backend/models/task.py
docs/api.md,API Reference,backend/models/user.py
docs/api.md,API Reference,backend/services/__init__.py
docs/api.md,API Reference,backend/services/auth.py
docs/api.md,API Reference,backend/services/tasks.py
docs/api.md,API Reference,frontend/src/App.jsx
docs/api.md,API Reference,frontend/src/api/client.js
docs/api.md,API Reference,frontend/src/components/Dashboard.jsx
docs/api.md,API Reference,frontend/src/components/LoginForm.jsx
docs/api.md,API Reference,frontend/src/components/TaskList.jsx
docs/api.md,API Reference,frontend/src/hooks/useAuth.js
docs/api.md,API Reference,frontend/src/hooks/useTasks.js
docs/api.md,API Reference,frontend/src/index.jsx
docs/api.md,API Reference,frontend/src/utils/helpers.js
docs/api.md,Authentication,backend/__init__.py
docs/api.md,Authentication,backend/app.py
docs/api.md,Authentication,backend/cli.py
docs/api.md,Authentication,backend/config.py
docs/api.md,Authentication,backend/database.py
docs/api.md,Authentication,backend/models/__init__.py
docs/api.md,Authentication,backend/models/task.py
docs/api.md,Authentication,backend/models/user.py
docs/api.md,Authentication,backend/services/__init__.py
docs/api.md,Authentication,backend/services/auth.py
docs/api.md,Authentication,backend/services/tasks.py
docs/api.md,Authentication,frontend/src/App.jsx
docs/api.md,Authentication,frontend/src/api/client.js
docs/api.md,Authentication,frontend/src/components/Dashboard.jsx
docs/api.md,Authentication,frontend/src/components/LoginForm.jsx
docs/api.md,Authentication,frontend/src/components/TaskList.jsx
docs/api.md,Authentication,frontend/src/hooks/useAuth.js
docs/api.md,Authentication,frontend/src/hooks/useTasks.js
docs/api.md,Authentication,frontend/src/index.jsx
docs/api.md,Authentication,frontend/src/utils/helpers.js
docs/api.md,POST /api/auth/register,backend/__init__.py
docs/api.md,POST /api/auth/register,backend/app.py
docs/api.md,POST /api/auth/register,backend/cli.py
docs/api.md,POST /api/auth/register,backend/config.py
docs/api.md,POST /api/auth/register,backend/database.py
docs/api.md,POST /api/auth/register,backend/models/__init__.py
docs/api.md,POST /api/auth/register,backend/models/task.py
docs/api.md,POST /api/auth/register,backend/models/user.py
docs/api.md,POST /api/auth/register,backend/services/__init__.py
docs/api.md,POST /api/auth/register,backend/services/auth.py
docs/api.md,POST /api/auth/register,backend/services/tasks.py
docs/api.md,POST /api/auth/register,frontend/src/App.jsx
docs/api.md,POST /api/auth/register,frontend/src/api/client.js
docs/api.md,POST /api/auth/register,frontend/src/components/Dashboard.jsx
docs/api.md,POST /api/auth/register,frontend/src/components/LoginForm.jsx
docs/api.md,POST /api/auth/register,frontend/src/components/TaskList.jsx
docs/api.md,POST /api/auth/register,frontend/src/hooks/useAuth.js
docs/api.md,POST /api/auth/register,frontend/src/hooks/useTasks.js
docs/api.md,POST /api/auth/register,frontend/src/index.jsx
docs/api.md,POST /api/auth/register,frontend/src/utils/helpers.js
docs/api.md,POST /api/auth/login,backend/__init__.py
docs/api.md,POST /api/auth/login,backend/app.py
docs/api.md,POST /api/auth/login,backend/cli.py
docs/api.md,POST /api/auth/login,backend/config.py
docs/api.md,POST /api/auth/login,backend/database.py
docs/api.md,POST /api/auth/login,backend/models/__init__.py
docs/api.md,POST /api/auth/login,backend/models/task.py
docs/api.md,POST /api/auth/login,backend/models/user.py
docs/api.md,POST /api/auth/login,backend/services/__init__.py
docs/api.md,POST /api/auth/login,backend/services/auth.py
docs/api.md,POST /api/auth/login,backend/services/tasks.py
docs/api.md,POST /api/auth/login,frontend/src/App.jsx
docs/api.md,POST /api/auth/login,frontend/src/api/client.js
docs/api.md,POST /api/auth/login,frontend/src/components/Dashboard.jsx
docs/api.md,POST /api/auth/login,frontend/src/components/LoginForm.jsx
docs/api.md,POST /api/auth/login,frontend/src/components/TaskList.jsx
docs/api.md,POST /api/auth/login,frontend/src/hooks/useAuth.js
docs/api.md,POST /api/auth/login,frontend/src/hooks/useTasks.js
docs/api.md,POST /api/auth/login,frontend/src/index.jsx
docs/api.md,POST /api/auth/login,frontend/src/utils/helpers.js
docs/api.md,Tasks,backend/__init__.py
docs/api.md,Tasks,backend/app.py
docs/api.md,Tasks,backend/cli.py
docs/api.md,Tasks,backend/config.py
docs/api.md,Tasks,backend/database.py
docs/api.md,Tasks,backend/models/__init__.py
docs/api.md,Tasks,backend/models/task.py
docs/api.md,Tasks,backend/models/user.py
docs/api.md,Tasks,backend/services/__init__.py
docs/api.md,Tasks,backend/services/auth.py
