doc_file,heading,file
docs/api.md,API Reference,backend/app.py
docs/api.md,POST /api/auth/register,backend/app.py
docs/api.md,POST /api/auth/register,backend/services/auth.py
docs/api.md,POST /api/auth/register,backend/models/user.py
docs/api.md,POST /api/auth/login,backend/app.py
docs/api.md,POST /api/auth/login,backend/services/auth.py
docs/api.md,POST /api/tasks,backend/app.py
docs/api.md,POST /api/tasks,backend/services/tasks.py
docs/api.md,POST /api/tasks,backend/models/task.py
docs/api.md,GET /api/tasks,backend/app.py
docs/api.md,GET /api/tasks,backend/services/tasks.py
docs/api.md,GET /api/tasks/stats,backend/app.py
docs/api.md,GET /api/tasks/stats,backend/services/tasks.py
docs/api.md,PATCH /api/tasks/:id/status,backend/app.py
docs/api.md,PATCH /api/tasks/:id/status,backend/services/tasks.py
docs/api.md,PATCH /api/tasks/:id/status,backend/models/task.py
docs/api.md,DELETE /api/tasks/:id,backend/app.py
docs/api.md,DELETE /api/tasks/:id,backend/services/tasks.py
docs/architecture.md,Backend,backend/app.py
docs/architecture.md,HTTP Server (`app.py`),backend/app.py
docs/architecture.md,CLI (`cli.py`),backend/cli.py
docs/architecture.md,Database (`database.py`),backend/database.py
docs/architecture.md,Models,backend/models/user.py
docs/architecture.md,Models,backend/models/task.py
docs/architecture.md,Services,backend/services/auth.py
docs/architecture.md,Services,backend/services/tasks.py
docs/architecture.md,API Client (`api/client.js`),frontend/src/api/client.js
docs/architecture.md,Hooks,frontend/src/hooks/useAuth.js
docs/architecture.md,Hooks,frontend/src/hooks/useTasks.js
docs/architecture.md,Components,frontend/src/components/LoginForm.jsx
docs/architecture.md,Components,frontend/src/components/Dashboard.jsx
docs/architecture.md,Components,frontend/src/components/TaskList.jsx
docs/architecture.md,Components,frontend/src/App.jsx
docs/architecture.md,Authentication Flow,backend/services/auth.py
docs/architecture.md,Authentication Flow,frontend/src/hooks/useAuth.js
docs/architecture.md,Authentication Flow,frontend/src/api/client.js
docs/architecture.md,Authentication Flow,backend/app.py
docs/architecture.md,Authentication Flow,backend/cli.py
docs/cli.md,Usage,backend/cli.py
docs/cli.md,init,backend/cli.py
docs/cli.md,init,backend/database.py
docs/cli.md,config,backend/cli.py
docs/cli.md,config,backend/config.py
docs/cli.md,register,backend/cli.py
docs/cli.md,register,backend/services/auth.py
docs/cli.md,login,backend/cli.py
docs/cli.md,login,backend/services/auth.py
docs/cli.md,Task Subcommands,backend/cli.py
docs/cli.md,task add,backend/cli.py
docs/cli.md,task add,backend/services/tasks.py
docs/cli.md,task list,backend/cli.py
docs/cli.md,task list,backend/services/tasks.py
docs/cli.md,task status,backend/cli.py
docs/cli.md,task status,backend/services/tasks.py
docs/cli.md,task status,backend/models/task.py
docs/cli.md,task delete,backend/cli.py
docs/cli.md,task delete,backend/services/tasks.py
docs/cli.md,task stats,backend/cli.py
docs/cli.md,task stats,backend/services/tasks.py
docs/cli.md,Examples,backend/cli.py
docs/code-snippets.md,Password Hashing,backend/services/auth.py
docs/code-snippets.md,Token Generation,backend/services/auth.py
docs/code-snippets.md,Status Transition Guard,backend/models/task.py
docs/code-snippets.md,Status Transition Guard,backend/services/tasks.py
docs/code-snippets.md,API Route Registration,backend/app.py
docs/code-snippets.md,React Task Hook,frontend/src/hooks/useTasks.js
docs/code-snippets.md,API Client Error Handling,frontend/src/api/client.js
docs/code-snippets.md,CLI Token Storage,backend/cli.py
docs/code-snippets.md,Task Statistics Aggregation,backend/services/tasks.py
docs/getting-started.md,Backend Setup,backend/cli.py
docs/getting-started.md,Backend Setup,backend/app.py
docs/getting-started.md,Backend Setup,backend/config.py
docs/getting-started.md,CLI Usage,backend/cli.py
docs/getting-started.md,Configuration,backend/config.py
docs/getting-started.md,Environment Variables,frontend/src/api/client.js
